,ds,y
503,2024-05-23,11768
504,2024-05-24,5744
505,2024-05-25,8056
506,2024-05-26,10573
507,2024-05-27,11742
508,2024-05-28,0
509,2024-05-29,0
510,2024-05-30,10915
511,2024-05-31,13783
512,2024-06-01,8853
513,2024-06-02,11661
514,2024-06-03,11368
515,2024-06-04,13138
516,2024-06-05,14018
517,2024-06-06,10139
518,2024-06-07,8967
519,2024-06-08,8664
520,2024-06-09,9021
521,2024-06-10,8784
522,2024-06-11,11069
523,2024-06-12,9130
524,2024-06-13,10128
525,2024-06-14,10760
526,2024-06-15,7534
527,2024-06-16,13541
528,2024-06-17,14823
529,2024-06-18,11882
530,2024-06-19,12610
531,2024-06-20,10438
532,2024-06-21,12599
533,2024-06-22,12365
534,2024-06-23,11718
535,2024-06-24,11372
536,2024-06-25,9683
537,2024-06-26,8467
538,2024-06-27,5615
539,2024-06-28,11111
540,2024-06-29,10573
541,2024-06-30,6930
542,2024-07-01,9440
543,2024-07-02,11982
544,2024-07-03,12520
545,2024-07-04,14424
546,2024-07-05,15545
547,2024-07-06,9200
548,2024-07-07,5439
549,2024-07-08,7337
550,2024-07-09,8373
551,2024-07-10,11150
552,2024-07-11,5166
553,2024-07-12,9131
554,2024-07-13,8693
555,2024-07-14,6210
556,2024-07-15,3617
557,2024-07-16,5319
558,2024-07-17,1623
559,2024-07-18,6954
560,2024-07-19,5987
561,2024-07-20,7227
562,2024-07-21,6039
563,2024-07-22,9031
564,2024-07-23,4461
565,2024-07-24,7459
566,2024-07-25,5855
567,2024-07-26,5306
568,2024-07-27,7768
569,2024-07-28,8158
570,2024-07-29,7897
571,2024-07-30,6570
572,2024-07-31,6954
573,2024-08-01,3142
574,2024-08-02,11575
575,2024-08-03,9315
576,2024-08-04,14311
577,2024-08-05,13826
578,2024-08-06,11001
579,2024-08-07,7474
580,2024-08-08,9322
581,2024-08-09,6793
582,2024-08-10,11023
583,2024-08-11,11434
584,2024-08-12,10327
585,2024-08-13,12112
586,2024-08-14,12974
587,2024-08-15,9233
588,2024-08-16,10372
589,2024-08-17,3298
590,2024-08-18,8375
591,2024-08-19,9670
592,2024-08-20,12824
593,2024-08-21,10810
594,2024-08-22,13754
595,2024-08-23,14525
596,2024-08-24,12416
597,2024-08-25,8121
598,2024-08-26,9187
599,2024-08-27,9522
600,2024-08-28,6742
601,2024-08-29,5766
602,2024-08-30,9111
